2023-11-09 at 21:46:03 | INFO | payment_check_coroutine : Checking payment at 1076149.296
2023-11-09 at 21:46:03 | INFO | payment_check_coroutine : Check result: False, time: 1076149.453
2023-11-09 at 21:46:05 | INFO | payment_check_coroutine : Checking payment at 1076151.453
2023-11-09 at 21:46:05 | INFO | payment_check_coroutine : Check result: False, time: 1076151.593
2023-11-09 at 21:46:07 | INFO | payment_check_coroutine : Checking payment at 1076153.593
2023-11-09 at 21:46:08 | INFO | payment_check_coroutine : Check result: False, time: 1076153.75
2023-11-09 at 21:46:10 | INFO | payment_check_coroutine : Checking payment at 1076155.75
2023-11-09 at 21:46:10 | INFO | payment_check_coroutine : Check result: False, time: 1076155.906
2023-11-09 at 21:46:12 | INFO | payment_check_coroutine : Checking payment at 1076157.906
2023-11-09 at 21:46:12 | INFO | payment_check_coroutine : Check result: False, time: 1076158.046
2023-11-09 at 21:46:14 | INFO | payment_check_coroutine : Checking payment at 1076160.046
2023-11-09 at 21:46:14 | INFO | payment_check_coroutine : Check result: False, time: 1076160.203
2023-11-09 at 21:46:16 | INFO | payment_check_coroutine : Checking payment at 1076162.203
2023-11-09 at 21:46:17 | INFO | payment_check_coroutine : Check result: False, time: 1076162.75
2023-11-09 at 21:46:19 | INFO | payment_check_coroutine : Checking payment at 1076164.75
2023-11-09 at 21:46:19 | INFO | payment_check_coroutine : Check result: False, time: 1076164.906
2023-11-09 at 21:46:21 | INFO | payment_check_coroutine : Checking payment at 1076166.906
2023-11-09 at 21:46:21 | INFO | payment_check_coroutine : Check result: False, time: 1076167.046
2023-11-09 at 21:46:23 | INFO | payment_check_coroutine : Checking payment at 1076169.046
2023-11-09 at 21:46:23 | INFO | payment_check_coroutine : Check result: False, time: 1076169.187
2023-11-09 at 21:46:25 | INFO | payment_check_coroutine : Checking payment at 1076171.187
2023-11-09 at 21:46:25 | INFO | payment_check_coroutine : Check result: False, time: 1076171.375
2023-11-09 at 21:46:27 | INFO | payment_check_coroutine : Checking payment at 1076173.39
2023-11-09 at 21:46:27 | INFO | payment_check_coroutine : Check result: False, time: 1076173.546
2023-11-09 at 21:46:29 | INFO | payment_check_coroutine : Checking payment at 1076175.546
